Van (datum);Van (tijdstip);Tot (datum);Tot (tijdstip);EAN-code;Meter;Metertype;Register;Volume;Eenheid;Validatiestatus;Omschrijving
01-01-2026;10:15:00;01-01-2026;10:30:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;10:30:00;01-01-2026;10:45:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Dag;0,584;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;10:30:00;01-01-2026;10:45:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;10:45:00;01-01-2026;11:00:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Dag;0,732;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;10:45:00;01-01-2026;11:00:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;11:00:00;01-01-2026;11:15:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Dag;0,463;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;11:00:00;01-01-2026;11:15:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;11:15:00;01-01-2026;11:30:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Dag;0,238;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;11:15:00;01-01-2026;11:30:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;11:30:00;01-01-2026;11:45:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Dag;0,383;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;11:30:00;01-01-2026;11:45:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;11:45:00;01-01-2026;12:00:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Dag;0,317;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;11:45:00;01-01-2026;12:00:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;12:00:00;01-01-2026;12:15:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Dag;0,417;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;12:00:00;01-01-2026;12:15:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;12:15:00;01-01-2026;12:30:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Dag;0,487;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;12:15:00;01-01-2026;12:30:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;12:30:00;01-01-2026;12:45:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Dag;0,638;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;12:30:00;01-01-2026;12:45:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;12:45:00;01-01-2026;13:00:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Dag;0,270;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;12:45:00;01-01-2026;13:00:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;13:00:00;01-01-2026;13:15:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Dag;0,099;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;13:00:00;01-01-2026;13:15:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;13:15:00;01-01-2026;13:30:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Dag;0,091;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;13:15:00;01-01-2026;13:30:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;13:30:00;01-01-2026;13:45:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Dag;0,165;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;13:30:00;01-01-2026;13:45:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;13:45:00;01-01-2026;14:00:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Dag;0,097;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;13:45:00;01-01-2026;14:00:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;14:00:00;01-01-2026;14:15:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Dag;0,238;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;14:00:00;01-01-2026;14:15:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;14:15:00;01-01-2026;14:30:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Dag;0,144;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;14:15:00;01-01-2026;14:30:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;14:30:00;01-01-2026;14:45:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Dag;0,294;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;14:30:00;01-01-2026;14:45:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;14:45:00;01-01-2026;15:00:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Dag;0,169;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;14:45:00;01-01-2026;15:00:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;15:00:00;01-01-2026;15:15:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Dag;0,331;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;15:00:00;01-01-2026;15:15:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;15:15:00;01-01-2026;15:30:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Dag;0,240;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;15:15:00;01-01-2026;15:30:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;15:30:00;01-01-2026;15:45:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Dag;0,388;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;15:30:00;01-01-2026;15:45:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;15:45:00;01-01-2026;16:00:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Dag;0,182;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;15:45:00;01-01-2026;16:00:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;16:00:00;01-01-2026;16:15:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Dag;0,321;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;16:00:00;01-01-2026;16:15:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;16:15:00;01-01-2026;16:30:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Dag;0,526;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;16:15:00;01-01-2026;16:30:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;16:30:00;01-01-2026;16:45:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Dag;0,887;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;16:30:00;01-01-2026;16:45:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;16:45:00;01-01-2026;17:00:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Dag;0,658;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;16:45:00;01-01-2026;17:00:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;17:00:00;01-01-2026;17:15:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Dag;0,552;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;17:00:00;01-01-2026;17:15:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;17:15:00;01-01-2026;17:30:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Dag;0,518;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;17:15:00;01-01-2026;17:30:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;17:30:00;01-01-2026;17:45:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Dag;0,131;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;17:30:00;01-01-2026;17:45:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;17:45:00;01-01-2026;18:00:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Dag;0,295;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;17:45:00;01-01-2026;18:00:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;18:00:00;01-01-2026;18:15:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Dag;0,291;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;18:00:00;01-01-2026;18:15:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;18:15:00;01-01-2026;18:30:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Dag;0,382;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;18:15:00;01-01-2026;18:30:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;18:30:00;01-01-2026;18:45:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Dag;0,283;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;18:30:00;01-01-2026;18:45:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;18:45:00;01-01-2026;19:00:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Dag;0,285;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;18:45:00;01-01-2026;19:00:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;19:00:00;01-01-2026;19:15:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Dag;0,286;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;19:00:00;01-01-2026;19:15:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;19:15:00;01-01-2026;19:30:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Dag;0,226;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;19:15:00;01-01-2026;19:30:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;19:30:00;01-01-2026;19:45:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Dag;0,216;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;19:30:00;01-01-2026;19:45:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;19:45:00;01-01-2026;20:00:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Dag;0,379;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;19:45:00;01-01-2026;20:00:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;20:00:00;01-01-2026;20:15:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Dag;0,231;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;20:00:00;01-01-2026;20:15:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;20:15:00;01-01-2026;20:30:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Dag;0,260;kWh;Uitgelezen;Hoofdverblijf
