Van (datum);Van (tijdstip);Tot (datum);Tot (tijdstip);Metertype;Register;Volume;Eenheid;Validatiestatus
05/06/2025;11:15:00;05/06/2025;11:30:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
05/06/2025;11:15:00;05/06/2025;11:30:00;Digitale meter;Injectie Dag;0,046;kWh;Uitgelezen
05/06/2025;11:30:00;05/06/2025;11:45:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
05/06/2025;11:30:00;05/06/2025;11:45:00;Digitale meter;Injectie Dag;0,07;kWh;Uitgelezen
05/06/2025;11:45:00;05/06/2025;12:00:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
05/06/2025;11:45:00;05/06/2025;12:00:00;Digitale meter;Injectie Dag;0,083;kWh;Uitgelezen
05/06/2025;12:00:00;05/06/2025;12:15:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
05/06/2025;12:00:00;05/06/2025;12:15:00;Digitale meter;Injectie Dag;0,096;kWh;Uitgelezen
05/06/2025;12:15:00;05/06/2025;12:30:00;Digitale meter;Afname Dag;0,063;kWh;Uitgelezen
05/06/2025;12:15:00;05/06/2025;12:30:00;Digitale meter;Injectie Dag;0,094;kWh;Uitgelezen
05/06/2025;12:30:00;05/06/2025;12:45:00;Digitale meter;Afname Dag;0,039;kWh;Uitgelezen
05/06/2025;12:30:00;05/06/2025;12:45:00;Digitale meter;Injectie Dag;0,12;kWh;Uitgelezen
05/06/2025;12:45:00;05/06/2025;13:00:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
05/06/2025;12:45:00;05/06/2025;13:00:00;Digitale meter;Injectie Dag;0,176;kWh;Uitgelezen
05/06/2025;13:00:00;05/06/2025;13:15:00;Digitale meter;Afname Dag;0,002;kWh;Uitgelezen
05/06/2025;13:00:00;05/06/2025;13:15:00;Digitale meter;Injectie Dag;0,225;kWh;Uitgelezen
05/06/2025;13:15:00;05/06/2025;13:30:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
05/06/2025;13:15:00;05/06/2025;13:30:00;Digitale meter;Injectie Dag;0,178;kWh;Uitgelezen
05/06/2025;13:30:00;05/06/2025;13:45:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
05/06/2025;13:30:00;05/06/2025;13:45:00;Digitale meter;Injectie Dag;0,243;kWh;Uitgelezen
